---На вітрині---
Булочка "Розаліна" 0,45 кг
Хліб "Бородинський заварний" 0,4 кг - половинка скибки
Хліб "Литовський житній" 0,475 кг - половинка скибки
Хліб "Стародавній на заквасці" 0,4 кг - половинка скибки
Хліб "Столичний житній" 0,475 кг - половинка скибки
Хліб "Данський" заварний 0,35 кг - цілий (не нарізаний)

---Решта---
Здобні вироби "Пиріжок з чорною смородиною" 0,08 кг
Хліб "Королівський" мультизлаковий 0,35 кг - цілий скибки
Хліб "Балканський" 0,4 кг - половинка скибки
Хліб "Балтійський темний" 0,4 кг - половинка скибки
Хліб "Домашній" пшеничний 0,35 кг - половинка скибки
Хліб "Домашній" солодовий 0,35 кг - половинка скибки
Хліб "Карпатський" 0,4 кг - половинка скибки
Хліб "Київська Русь" заварний 0,35 кг - половинка скибки
Хліб "Оксамитовий" 0,35 кг - половинка скибки
Хліб "Рустикальний" цільнозерновий 0,35 кг - цілий скибки
Хліб "Скандинавський заварний" 0,4 кг - половинка скибки
Хліб "Столичний житній" 0,95 кг - цілий (не нарізаний)
Хліб "Столичний житній" 0,95 кг - цілий скибки
Хліб "Тост" томатний 0,35 кг - цілий скибки
Хліб соняшниковий 0,3 кг - половинка скибки

---Не виробляється---
*** Хліб "Англійський" білий 0,35 кг - цілий скибки
*** Хліб "Балтійський темний з насінням соняшника" 0,4 кг - половинка скибки
*** Хліб "Житній Український" 0,5 кг - половинка скибки
*** Хліб баварський 300 г - половинка скибки
*** Хліб дарницький 0,4 кг - половинка скибки
*** Хліб дарницький 0,8 кг - цілий скибки
*** Хліб пушкарівський 0,5 кг - цілий скибки
*** Хліб домашній житній 0,45 кг - половинка скибки
